epoch,total_loss,recon_loss,kl_loss,music_loss
363,96.77,59.93,295.54,7.28
364,71.75,35.2,294.7,7.08
365,76.86,40.67,291.22,7.07
366,77.02,40.7,288.41,7.48
367,80.59,44.44,290.4,7.11
368,78.58,41.29,298.2,7.47
369,73.55,36.16,302.42,7.15
370,74.92,37.47,301.21,7.33
371,86.94,49.64,297.64,7.54
372,76.69,40.29,293.37,7.07
373,97.64,61.3,290.51,7.29
374,113.53,77.14,290.49,7.33
375,84.7,48.78,287.96,7.13
376,77.75,41.76,285.12,7.48
377,152.68,117.06,283.99,7.22
378,95.82,60.24,283.78,7.2
379,96.15,60.37,286.6,7.12
380,87.38,50.96,292.08,7.21
381,93.48,56.88,292.44,7.35
382,82.13,44.77,295.91,7.77
383,80.73,43.6,296.95,7.44
384,82.36,45.49,298.91,6.98
385,114.34,77.29,300.35,7.01
386,108.89,71.38,308.17,6.7
387,93.19,54.34,311.38,7.71
388,81.0,43.28,308.35,6.89
389,82.09,44.78,302.55,7.06
390,76.72,39.65,296.33,7.44
391,83.01,46.65,291.36,7.22
392,90.63,54.53,289.15,7.19
393,79.33,43.01,291.37,7.18
394,139.92,103.36,293.5,7.21
395,92.87,56.24,295.07,7.13
396,88.68,51.8,299.74,6.92
397,125.19,87.74,301.2,7.34
398,88.98,51.38,304.39,7.17
399,93.57,56.09,304.62,7.01
400,118.34,81.14,301.6,7.03
401,77.14,40.0,298.9,7.25
402,77.91,41.19,296.7,7.05
403,76.88,40.44,295.35,6.9
404,77.43,40.74,295.08,7.19
405,89.75,52.8,295.71,7.38
406,87.25,49.53,302.86,7.43
407,80.35,41.76,309.97,7.58
408,128.63,89.93,312.24,7.48
409,80.03,41.78,309.4,7.31
410,83.56,45.41,305.62,7.6
411,105.56,68.04,301.65,7.35
412,75.16,37.4,302.94,7.47
413,79.12,41.65,301.93,7.28
414,74.44,36.62,302.36,7.59
415,76.35,39.06,302.24,7.07
416,126.53,89.26,300.74,7.19
417,89.76,52.27,301.92,7.3
418,162.53,125.52,300.22,6.99
419,79.52,42.14,297.79,7.59
420,77.04,40.07,298.69,7.09
421,84.59,47.19,299.46,7.46
422,78.47,40.63,299.92,7.84
423,77.29,40.07,301.8,7.03
424,78.38,40.63,304.36,7.31
425,76.35,38.72,304.08,7.22
426,89.91,52.29,302.31,7.39
427,98.57,61.17,301.47,7.25
428,111.02,73.7,300.5,7.28
429,89.6,52.38,300.02,7.22
430,77.62,40.0,306.41,6.98
431,81.59,43.64,309.41,7.0
432,75.05,37.18,308.0,7.06
433,74.5,36.8,304.81,7.22
434,75.94,38.46,300.94,7.38
435,108.56,71.32,297.65,7.48
436,75.11,38.01,296.67,7.43
437,111.95,74.82,294.69,7.66
438,77.82,41.29,293.92,7.14
439,89.79,52.91,295.17,7.36
440,78.92,41.6,298.89,7.43
441,84.73,47.9,298.44,6.99
442,93.28,55.12,304.26,7.73
443,93.27,55.25,307.13,7.3
444,76.25,38.74,304.67,7.04
445,77.1,39.88,300.36,7.18
446,77.9,41.32,294.52,7.13
447,80.63,44.17,289.9,7.47
448,74.19,37.98,290.23,7.19
449,96.64,60.14,290.59,7.45
450,79.8,43.5,293.23,6.97
451,79.47,43.18,293.47,6.95
452,84.73,48.05,293.39,7.34
453,79.81,43.41,292.88,7.12
454,100.09,63.41,293.14,7.36
455,76.54,40.33,293.83,6.83
456,78.12,41.69,293.76,7.05
457,104.44,67.98,293.53,7.1
458,82.41,46.05,294.56,6.9
459,76.96,40.51,293.43,7.1
460,73.64,37.33,291.24,7.19
461,77.33,41.25,289.8,7.1
462,84.57,48.41,288.97,7.27
463,76.03,39.87,289.9,7.17
464,95.43,59.09,289.59,7.38
465,76.15,39.68,292.35,7.23
466,76.34,39.8,295.07,7.03
467,79.59,42.57,296.95,7.33
468,88.76,51.94,296.13,7.21
469,79.27,42.53,293.16,7.42
470,106.76,70.22,289.1,7.63
471,73.03,36.91,286.62,7.45
472,100.15,64.15,283.21,7.68
473,82.89,47.87,281.91,6.83
474,79.1,43.81,279.97,7.29
475,74.95,39.78,280.28,7.14
476,78.92,43.87,278.59,7.19
477,79.64,44.67,278.26,7.14
478,75.41,40.42,278.29,7.16
479,93.94,58.73,282.7,6.94
480,101.19,65.04,289.27,7.23
481,77.3,40.97,292.07,7.12
482,88.39,52.18,293.92,6.83
483,78.84,42.64,292.79,6.92
484,75.8,39.51,291.65,7.13
485,75.59,38.96,291.4,7.49
486,77.07,40.49,290.27,7.55
487,91.13,54.37,292.39,7.52
488,91.14,53.62,298.73,7.64
489,84.32,46.61,301.24,7.58
490,79.21,41.84,302.07,7.17
491,121.67,83.75,302.42,7.67
492,80.64,43.4,301.76,7.07
493,84.96,47.26,304.3,7.27
494,160.77,122.78,305.17,7.46
495,78.46,40.84,303.1,7.31
496,96.94,59.64,301.31,7.17
497,84.74,47.99,297.47,7.0
498,88.61,52.09,293.35,7.18
499,76.91,40.06,297.21,7.12
500,76.3,38.72,303.0,7.29
501,102.05,63.82,307.95,7.44
502,104.07,66.01,309.29,7.12
503,78.33,40.41,308.14,7.11
504,80.89,42.61,308.24,7.45
505,80.91,42.72,310.0,7.18
506,90.1,52.5,307.49,6.84
507,125.49,87.47,307.46,7.27
508,76.29,38.29,306.87,7.31
509,80.77,42.92,306.22,7.23
510,78.48,41.12,304.13,6.95
511,77.83,40.43,300.01,7.4
512,76.1,39.36,296.29,7.11
513,100.4,63.33,294.61,7.6
514,84.39,47.35,296.88,7.35
515,75.76,38.88,298.11,7.06
516,87.05,50.1,297.16,7.23
517,87.3,50.62,293.54,7.33
518,102.65,66.45,291.12,7.09
519,101.74,65.63,287.37,7.38
520,79.6,43.84,286.68,7.09
521,80.45,44.45,287.83,7.22
